id,name,lat,lng,?column?,tipcount,checkincount,usercount,photo_count,url,tags
4d4274a248cea35dc96531f7,Max Planck Institut fuer medicinische Forschung,49.4126574991578,8.67676497647766,"""University""",0,47,17,0,http://www.mpg.de/153095/medizinische_forschung,{}
4b8facd8f964a5207d5c33e3,Galeria Kaufhof,49.4097725407961,8.69633316993713,"""Department Store""",2,915,444,23,http://www.galeria-kaufhof.de,{}
4d4e5ee2a8fba1431f44431a,Vorbach Pralinen,49.4091268482116,8.69210250659003,"""Chocolate Shop""",0,3,3,0,,{}
53fb0a16498ef4999743340a,KFC Heidelberg,49.3973063105392,8.68278120378849,"""Fast Food Restaurant""",0,56,29,4,,{}
518ea9b6498eb0cdf7d42a6d,Orient Lounge Sisha Bar,49.410481,8.694645,"""Bar""",0,34,28,0,,{}
50cc5548e4b06f07d39942cf,Restaurant und Pension Dufke,49.3792088219518,8.67334729475332,"""German Restaurant""",1,27,5,15,http://www.restaurant-dufke.de,{}
4e8ee23b9adf0d7c3544504c,Ristorante Italia,49.3809108421292,8.68881865463409,"""Italian Restaurant""",1,39,20,1,http://www.italia-heidelberg.de,{}
4bc6fe7315a7ef3bb58978da,Chocolaterie St.Anna No 1,49.4095024142015,8.69414455103523,"""Caf\u00e9""",4,49,40,17,,{}
4d5ffe29865a224ba486a585,P8 - Kongresshaus (C&A),49.4109382972353,8.7000560760498,"""Parking""",1,84,25,2,,{}
5728baed498e648459b66de0,Eichendoffhalle,49.380235,8.692078,"""Athletics & Sports""",0,2,1,2,,{}
4cffb093181a9eb0dde64906,Media Markt Heidelberg-Rohrbach,49.3668284004899,8.68541698996705,"""Electronics Store""",1,439,132,3,http://www.mediamarkt.de,{}
56894e50498e9a7080eb1f1d,H Seegarten,49.4065105324608,8.68882273739719,"""Light Rail Station""",0,8,4,0,,{}
56894e50498e9a7080eb1f1d,H Seegarten,49.4065105324608,8.68882273739719,"""Light Rail Station""",0,8,4,0,,{}
557c4e41498e50ed0586a9cc,Sebastians Grilldach,49.3792855746915,8.67553486073142,"""Castle""",0,5,3,2,,{}
56bad58e498e75fd31ed71da,Boarding House Luise 5,49.4101683317616,8.69131449701438,"""Residential Building (Apartment / Condo)""",0,32,4,0,,{}
4b5640e5f964a520970728e3,ibis Heidelberg,49.4036675713642,8.67743435026971,"""Hotel""",12,670,409,20,http://www.ibis.com/de/deutschland/index.shtml,{}
4cb5c5bd64998cfa9a4610a2,Deutsche Post,49.4087680698292,8.69358576558549,"""Post Office""",0,184,67,3,http://www.deutschepost.de,{}
4b5497f6f964a520a5c127e3,Hotel Bayrischer Hof,49.4088766498175,8.69231247343962,"""Hotel""",4,261,136,10,http://www.bayrischer-hof-heidelberg.com,{}
4c41981faf052d7fe28d7d79,Thalia,49.4110084781616,8.7006769,"""Bookstore""",1,127,88,2,http://www.thalia.de,"{""bücher, books, dvds, newspapers, zeitungen, thalia, buchhandlung""}"
4fd735f3e4b0884f34ae468b,Knoblauch Büro- und Schreibwaren,49.4088571148556,8.69378241799102,"""Paper / Office Supplies Store""",0,19,11,0,,{}
5710923a498e00f31ee6dac4,Cella's Room,49.385603,8.686788,"""Housing Development""",0,5,2,0,,{}
5738b45c498e268997b6a135,Campbell Barracks,49.391956,8.685582,"""Military Base""",0,5,3,0,,{}
4b55f707f964a52045f927e3,Zum Weissen Schwannen,49.411680275,8.7064,"""Restaurant""",3,172,140,24,,{}
516cf8d4e4b086022acfe770,Institut für Theoretische Physik,49.4147573960419,8.69840783728916,"""College Science Building""",1,25,1,2,,{}
4f9edc88e4b044503ca58fa7,Heidel-bike,49.4063050833488,8.69280034240966,"""Bike Shop""",0,21,16,2,http://www.heidelbike.de,"{"" shop"",bicycle,bike}"
4c49be849e3e2d7f36f43049,Orchid Thai Restaurant,49.4078054696016,8.67682149104717,"""Thai Restaurant""",3,59,48,2,http://www.orchid-heidelberg.de,{}
4bd94eac11dcc928876df933,C&A,49.4108692614003,8.69994016756342,"""Clothing Store""",0,148,92,2,http://www.c-and-a.com,{}
55433efc498e4fd3ac13fcd3,Reit- und Fahrverein Heidelberg-Wieblingen,49.4217966659919,8.63915417044786,"""Stables""",0,2,1,2,,{}
56cf18c1498ee97528d1b8b4,Datavard,49.4058282746106,8.68468494490289,"""Office""",0,3,1,2,,{}
51095e26e4b032ec289b5b1d,Stotz,49.402693,8.643962,"""Light Rail Station""",0,27,13,1,,{}
52656142498e0b0053035a04,Pestalozzi-Sporthalle,49.3967376556265,8.68693402463776,"""College Gym""",0,3,3,0,,{}
4e0e0425483bc2b5f47d526d,orsay,49.3666706993817,8.68545576146382,"""Women's Store""",0,17,5,0,http://www.orsay.com,{}
4b8d546af964a520f3f432e3,Starbucks,49.4101844666667,8.6955923,"""Coffee Shop""",15,1273,795,29,http://www.starbucks.de,{}
53f6019a498ef49996bc3823,Presse - Tabak Karmann,49.366641998291,8.68529033660889,"""Convenience Store""",0,51,2,0,,{}
4ec78625f79041351cc1621c,Tor,49.3668129617904,8.68539844499084,"""Falafel Restaurant""",0,36,6,0,,{}
4e0e02e462843e04afa6fb80,New Yorker,49.3666648852287,8.68550345219025,,0,8,6,1,,{}
4f194ea7e4b0a339fadf3220,La Crépe,49.3666207827692,8.68535928666306,"""Creperie""",1,108,35,1,,{crêperie}
4da84c5ef7b12d2d9a079af5,Breitwieser,49.3666480369877,8.68397376600424,"""Department Store""",0,75,33,0,,{}
4bd0989c1f89ce724ab767ea,Hotel ISG Heidelberg,49.3705252689157,8.705816340945,"""Hotel""",0,98,63,5,,{hotel}
5178d245498e4d114cb2f1a2,PartyLite Germany,49.380084,8.679013,"""Office""",0,10,5,0,,{}
50d37cb1e4b0830e0e184612,Freiburger Straße,49.3735631918722,8.68648838919754,"""Light Rail Station""",0,55,28,2,,{}
52a4d57611d249c2155513ff,Mombertplatz 29,49.36941,8.703487,"""Residential Building (Apartment / Condo)""",0,17,6,0,,{}
5729157a498ec95d48a2d0f1,Ongun Haus,49.371535,8.70648,"""Residential Building (Apartment / Condo)""",0,8,1,0,,{}
56e3ef21cd10a88c5632691c,Im Eichwald,49.3711472005086,8.70603130191202,"""Neighborhood""",0,26,1,1,,{}
51448f0fe4b0dfd2cd233d41,Mombertplatz,49.3688410290509,8.70350328158827,"""Housing Development""",1,20,11,0,,{}
56f0ea5b498e352d77866590,Rutz im Rewe,49.3692845156275,8.70325181236314,"""Bakery""",0,5,3,0,,{}
536d2759498e00e87fd9ce9a,Spielplatz an der Lahrerstrasse,49.372686,8.679839,"""Playground""",0,9,4,0,http://www.spielplatznet.de/spielplaetze/Heidelberg,{}
4fae460de4b0ec8289146917,Adventgemeinde Heidelberg,49.3743654181923,8.68842682714266,"""Church""",0,63,7,1,,{}
4ec53d0d29c224ea7c5324d2,Speyerer Strasse,49.3745138722008,8.66443470581373,"""Road""",0,7,3,1,,{}
4ffc3231e4b03dec7849ebb6,Boxberg,49.37237523466,8.70541571217515,"""Neighborhood""",0,57,30,18,,{}
4eec755baa1f98ce6490ad71,Mod's Hair,49.4152173176778,8.69042009515255,"""Salon / Barbershop""",0,6,5,0,,{}
4b2bcf6ff964a5206ebb24e3,Hotel Heidelberg,49.3757789240471,8.66098165512085,"""Hotel""",5,148,82,7,http://hotelheidelberg.com,{}
4e288291fa762797e59e2478,Kirchheim Friedhof,49.3759927362232,8.65957005358892,"""Light Rail Station""",0,16,9,2,,{}
50cfb94be4b0707f6ca6fd25,Konstanzer 4/62/4,49.373142783641,8.68694949890302,"""Residential Building (Apartment / Condo)""",0,10,6,0,,{}
56ffbac8498ea84483f6de70,Zekinin Bahçesi,49.3759201485117,8.66378007039834,"""Garden""",0,3,1,0,,{}
