"osm_id","name","lat","lon","category","type","accessible"
2340301417,"stadtmobil CarSharing-Station",49.4270161,8.6422111,"public_transfer","car_sharing","unknown"
-165903579,"",49.4246746,8.6421385,"public_transfer","parking","yes"
-150742372,"Damm Fahrzeuge GmbH",49.4267849,8.6473388,"shopping","bicycle","unknown"
2441481449,"Daniel K. Einkauf u. Logistik GmbH",49.428225,8.6415894,"misc","company","unknown"
-24824494,"",49.4259410722183,8.63914246328189,"public_transfer","parking","unknown"
-235866069,"Aldi",49.4262188,8.6391737,"shopping","supermarket","yes"
-238641500,"",49.4246382116271,8.63873538475489,"public_transfer","parking","unknown"
3207690405,"Rehability",49.4293078,8.6395776,"misc","company","yes"
811505976,"Taormina",49.3974421,8.6480834,"food","restaurant","limited"
2340254916,"stadtmobil CarSharing-Station",49.3976942,8.6424612,"public_transfer","car_sharing","unknown"
-140872672,"",49.3973097,8.6519777,"leisure","playground","yes"
-140130990,"",49.3974277248855,8.64595743993992,"leisure","playground","yes"
-203262703,"Vereinsgaststätte Maulbeeranlage",49.3998542,8.6384121,"food","restaurant","limited"
2340256714,"stadtmobil CarSharing-Station",49.4050115,8.6392987,"public_transfer","car_sharing","unknown"
281071016,"Schwimmbad",49.4204352,8.6593168,"public_transfer","bus_stop","unknown"
281071017,"Schwimmbad",49.4204555,8.6593989,"public_transfer","bus_stop","unknown"
-64096932,"",49.4225808,8.658055,"sport","pitch","unknown"
-25955912,"",49.4226931533783,8.65861275467906,"public_transfer","parking","yes"
-5076299,"",49.4199637,8.6582941,"public_transfer","parking","yes"
-26004414,"TSG 78 Heidelberg Abt. Leichtathletik",49.4183205,8.6591994,"sport","stadium","unknown"
-26004417,"",49.41778555,8.65982019999999,"public_transfer","parking","unknown"
-25770455,"",49.4184562721173,8.65694617746747,"public_transfer","parking","unknown"
-218803933,"",49.4186343,8.6608593,"public_transfer","parking","unknown"
-64096933,"",49.4217735,8.6562747,"leisure","playground","unknown"
-25770663,"TSG 78 Heidelberg",49.4189957,8.6575136,"sport","pitch","unknown"
-25770660,"TSG 78 Heidelberg Abt. Leichtathletik",49.4183053,8.6592061,"sport","pitch","unknown"
-25770662,"TSG 78 Heidelberg Abt. Hockey",49.4190746,8.6588456,"sport","pitch","unknown"
-307365198,"",49.4179354,8.6588912,"sport","sports_centre","unknown"
-166105389,"",49.417584,8.658161,"sport","pitch","unknown"
-166105385,"",49.4175481,8.6579349,"sport","pitch","unknown"
